Gene stable ID	Gene name
ENSG00000067048	DDX3Y
ENSG00000067057	PFKP
ENSG00000067167	TRAM1
ENSG00000067334	DNTTIP2
ENSG00000067596	DHX8
ENSG00000067829	IDH3G
ENSG00000067900	ROCK1
ENSG00000067955	CBFB
ENSG00000068366	ACSL4
ENSG00000068438	FTSJ1
ENSG00000068654	POLR1A
ENSG00000068697	LAPTM4A
ENSG00000068784	SRBD1
ENSG00000068878	PSME4
ENSG00000068912	ERLEC1
ENSG00000069020	MAST4
ENSG00000069248	NUP133
ENSG00000069345	DNAJA2
ENSG00000069849	ATP1B3
ENSG00000069956	MAPK6
ENSG00000070010	UFD1L
ENSG00000070087	PFN2
ENSG00000070182	SPTB
ENSG00000070366	SMG6
ENSG00000070367	EXOC5
ENSG00000070423	RNF126
ENSG00000070761	C16orf80
ENSG00000070778	PTPN21
ENSG00000070814	TCOF1
ENSG00000070882	OSBPL3
ENSG00000070961	ATP2B1
ENSG00000071054	MAP4K4
ENSG00000071082	RPL31
ENSG00000071242	RPS6KA2
ENSG00000071462	WBSCR22
ENSG00000071537	SEL1L
ENSG00000071539	TRIP13
ENSG00000071553	ATP6AP1
ENSG00000071626	DAZAP1
ENSG00000071655	MBD3
ENSG00000071889	FAM3A
ENSG00000071894	CPSF1
ENSG00000071967	CYBRD1
ENSG00000072042	RDH11
ENSG00000072134	EPN2
ENSG00000072210	ALDH3A2
ENSG00000072501	SMC1A
ENSG00000072506	HSD17B10
ENSG00000072518	MARK2
ENSG00000072657	TRHDE
ENSG00000072682	P4HA2
ENSG00000072849	DERL2
ENSG00000072864	NDE1
ENSG00000073578	SDHA
ENSG00000073711	PPP2R3A
ENSG00000073792	IGF2BP2
ENSG00000074071	MRPS34
ENSG00000074201	CLNS1A
ENSG00000074356	C17orf85
ENSG00000074370	ATP2A3
ENSG00000074755	ZZEF1
ENSG00000074964	ARHGEF10L
ENSG00000075151	EIF4G3
ENSG00000075234	TTC38
ENSG00000075239	ACAT1
ENSG00000075292	ZNF638
ENSG00000075413	MARK3
ENSG00000075415	SLC25A3
ENSG00000075420	FNDC3B
ENSG00000075426	FOSL2
ENSG00000075539	FRYL
ENSG00000075886	TUBA3D
ENSG00000075914	EXOSC7
ENSG00000075975	MKRN2
ENSG00000076003	MCM6
ENSG00000076053	RBM7
ENSG00000076067	RBMS2
ENSG00000076382	SPAG5
ENSG00000076513	ANKRD13A
ENSG00000076685	NT5C2
ENSG00000076716	GPC4
ENSG00000077097	TOP2B
ENSG00000077147	TM9SF3
ENSG00000077235	GTF3C1
ENSG00000077348	EXOSC5
ENSG00000077380	DYNC1I2
ENSG00000077458	FAM76B
ENSG00000077549	CAPZB
ENSG00000077721	UBE2A
ENSG00000078061	ARAF
ENSG00000078070	MCCC1
ENSG00000078246	TULP3
ENSG00000078304	PPP2R5C
ENSG00000078369	GNB1
ENSG00000078618	NRD1
ENSG00000078808	SDF4
ENSG00000078902	TOLLIP
ENSG00000079134	THOC1
ENSG00000079150	FKBP7
ENSG00000079156	OSBPL6
ENSG00000079435	LIPE
ENSG00000079819	EPB41L2
ENSG00000079841	RIMS1
ENSG00000079950	STX7
ENSG00000080200	CRYBG3
ENSG00000080345	RIF1
ENSG00000080371	RAB21
ENSG00000080608	KIAA0020
ENSG00000081019	RSBN1
ENSG00000081087	OSTM1
ENSG00000081177	EXD2
ENSG00000081307	UBA5
ENSG00000082153	BZW1
ENSG00000082397	EPB41L3
ENSG00000082438	COBLL1
ENSG00000082515	MRPL22
ENSG00000083444	PLOD1
ENSG00000083520	DIS3
ENSG00000083642	PDS5B
ENSG00000083857	FAT1
ENSG00000083937	CHMP2B
ENSG00000084073	ZMPSTE24
ENSG00000084092	NOA1
ENSG00000084623	EIF3I
ENSG00000084731	KIF3C
ENSG00000084733	RAB10
ENSG00000084754	HADHA
ENSG00000085415	SEH1L
ENSG00000085491	SLC25A24
ENSG00000085719	CPNE3
ENSG00000085733	CTTN
ENSG00000085871	MGST2
ENSG00000085872	CHERP
ENSG00000086189	DIMT1
ENSG00000086200	IPO11
ENSG00000086589	RBM22
ENSG00000086598	TMED2
ENSG00000086696	HSD17B2
ENSG00000086758	HUWE1
ENSG00000086827	ZW10
ENSG00000087087	SRRT
ENSG00000087111	PIGS
ENSG00000087269	NOP14
ENSG00000087460	GNAS
ENSG00000087470	DNM1L
ENSG00000087502	ERGIC2
ENSG00000088205	DDX18
ENSG00000088387	DOCK9
ENSG00000088538	DOCK3
ENSG00000088812	ATRN
ENSG00000088930	XRN2
ENSG00000088992	TESC
ENSG00000089053	ANAPC5
ENSG00000089154	GCN1L1
ENSG00000089157	RPLP0
ENSG00000089351	GRAMD1A
ENSG00000089597	GANAB
ENSG00000089693	MLF2
ENSG00000090054	SPTLC1
ENSG00000090263	MRPS33
ENSG00000090273	NUDC
ENSG00000090316	MAEA
ENSG00000090372	STRN4
ENSG00000090487	SPG21
ENSG00000090581	GNPTG
ENSG00000090615	GOLGA3
ENSG00000090621	PABPC4
ENSG00000090776	EFNB1
ENSG00000090861	AARS
ENSG00000090863	GLG1
ENSG00000090924	PLEKHG2
ENSG00000090971	NAT14
ENSG00000090989	EXOC1
ENSG00000091009	RBM27
ENSG00000091039	OSBPL8
ENSG00000091127	PUS7
ENSG00000091138	SLC26A3
ENSG00000091436	MLTK
ENSG00000091622	PITPNM3
ENSG00000092010	PSME1
ENSG00000092094	OSGEP
ENSG00000092096	SLC22A17
ENSG00000092108	SCFD1
ENSG00000092148	HECTD1
ENSG00000092201	SUPT16H
ENSG00000092439	TRPM7
ENSG00000092531	SNAP23
ENSG00000092621	PHGDH
ENSG00000092841	MYL6
ENSG00000093010	COMT
ENSG00000093167	LRRFIP2
ENSG00000094880	CDC23
ENSG00000095139	ARCN1
ENSG00000095209	TMEM38B
ENSG00000095303	PTGS1
ENSG00000095319	NUP188
ENSG00000095564	BTAF1
ENSG00000096080	MRPS18A
ENSG00000096150	RPS18
ENSG00000096155	BAG6
ENSG00000096401	CDC5L
ENSG00000096696	DSP
ENSG00000096746	HNRNPH3
ENSG00000099194	SCD
ENSG00000099203	TMED1
ENSG00000099219	ERMP1
ENSG00000099284	H2AFY2
ENSG00000099331	MYO9B
ENSG00000099341	PSMD8
ENSG00000099622	CIRBP
ENSG00000099624	ATP5D
ENSG00000099797	TECR
ENSG00000099800	TIMM13
ENSG00000099821	POLRMT
ENSG00000099864	PALM
ENSG00000099901	RANBP1
ENSG00000099910	KLHL22
ENSG00000099949	LZTR1
ENSG00000099995	SF3A1
ENSG00000100028	SNRPD3
ENSG00000100029	PES1
ENSG00000100056	DGCR14
ENSG00000100065	CARD10
ENSG00000100075	SLC25A1
ENSG00000100084	HIRA
ENSG00000100138	NHP2L1
ENSG00000100147	CCDC134
ENSG00000100196	KDELR3
ENSG00000100207	TCF20
ENSG00000100216	TOMM22
ENSG00000100220	RTCB
ENSG00000100226	GTPBP1
ENSG00000100239	PPP6R2
ENSG00000100243	CYB5R3
ENSG00000100258	LMF2
ENSG00000100285	NEFH
ENSG00000100294	MCAT
ENSG00000100300	TSPO
ENSG00000100316	RPL3
ENSG00000100321	SYNGR1
ENSG00000100345	MYH9
ENSG00000100347	SAMM50
ENSG00000100379	KCTD17
ENSG00000100380	ST13
ENSG00000100401	RANGAP1
ENSG00000100410	PHF5A
ENSG00000100441	KHNYN
ENSG00000100504	PYGL
ENSG00000100532	CGRRF1
ENSG00000100554	ATP6V1D
ENSG00000100596	SPTLC2
ENSG00000100612	DHRS7
ENSG00000100632	ERH
ENSG00000100647	KIAA0247
ENSG00000100664	EIF5
ENSG00000100714	MTHFD1
ENSG00000100726	TELO2
ENSG00000100813	ACIN1
ENSG00000100836	PABPN1
ENSG00000100883	SRP54
ENSG00000100888	CHD8
ENSG00000100897	DCAF11
ENSG00000100902	PSMA6
ENSG00000100911	PSME2
ENSG00000100926	TM9SF1
ENSG00000100941	PNN
ENSG00000100997	ABHD12
ENSG00000101000	PROCR
ENSG00000101084	C20orf24
ENSG00000101126	ADNP
ENSG00000101161	PRPF6
ENSG00000101193	GID8
ENSG00000101210	EEF1A2
ENSG00000101220	C20orf27
ENSG00000101290	CDS2
ENSG00000101294	HM13
ENSG00000101306	MYLK2
ENSG00000101337	TM9SF4
ENSG00000101343	CRNKL1
ENSG00000101365	IDH3B
ENSG00000101407	TTI1
ENSG00000101444	AHCY
ENSG00000101464	PIGU
ENSG00000101474	APMAP
ENSG00000101493	ZNF516
ENSG00000101596	SMCHD1
ENSG00000101608	MYL12A
ENSG00000101654	RNMT
ENSG00000101856	PGRMC1
ENSG00000101911	PRPS2
ENSG00000101974	ATP11C
ENSG00000101986	ABCD1
ENSG00000102038	SMARCA1
ENSG00000102054	RBBP7
ENSG00000102081	FMR1
ENSG00000102100	SLC35A2
ENSG00000102144	PGK1
ENSG00000102158	MAGT1
ENSG00000102178	UBL4A
ENSG00000102218	RP2
ENSG00000102271	KLHL4
ENSG00000102316	MAGED2
ENSG00000102393	GLA
ENSG00000102401	ARMCX3
ENSG00000102572	STK24
ENSG00000102580	DNAJC3
ENSG00000102595	UGGT2
ENSG00000102738	MRPS31
ENSG00000102763	VWA8
ENSG00000102786	INTS6
ENSG00000102900	NUP93
ENSG00000102978	POLR2C
ENSG00000103018	CYB5B
ENSG00000103024	NME3
ENSG00000103035	PSMD7
ENSG00000103089	FA2H
ENSG00000103152	MPG
ENSG00000103160	HSDL1
ENSG00000103202	NME4
ENSG00000103222	ABCC1
ENSG00000103241	FOXF1
ENSG00000103249	CLCN7
ENSG00000103257	SLC7A5
ENSG00000103266	STUB1
ENSG00000103326	CAPN15
ENSG00000103335	PIEZO1
ENSG00000103356	EARS2
ENSG00000103363	TCEB2
ENSG00000103415	HMOX2
ENSG00000103496	STX4
ENSG00000103502	CDIPT
ENSG00000103512	NOMO1
ENSG00000103550	KNOP1
ENSG00000103642	LACTB
ENSG00000103978	TMEM87A
ENSG00000104142	VPS18
ENSG00000104177	MYEF2
ENSG00000104218	CSPP1
ENSG00000104299	INTS9
ENSG00000104321	TRPA1
ENSG00000104325	DECR1
ENSG00000104332	SFRP1
ENSG00000104356	POP1
ENSG00000104381	GDAP1
ENSG00000104412	EMC2
ENSG00000104427	ZC2HC1A
ENSG00000104447	TRPS1
ENSG00000104695	PPP2CB
ENSG00000104728	ARHGEF10
ENSG00000104756	KCTD9
ENSG00000104824	HNRNPL
ENSG00000104833	TUBB4A
ENSG00000104835	SARS2
ENSG00000104853	CLPTM1
ENSG00000104863	LIN7B
ENSG00000104897	SF3A2
ENSG00000104915	STX10
ENSG00000104946	TBC1D17
ENSG00000104980	TIMM44
ENSG00000105053	VRK3
ENSG00000105063	PPP6R1
ENSG00000105127	AKAP8
ENSG00000105176	URI1
ENSG00000105197	TIMM50
ENSG00000105220	GPI
ENSG00000105223	PLD3
ENSG00000105254	TBCB
ENSG00000105258	POLR2I
ENSG00000105357	MYH14
ENSG00000105379	ETFB
ENSG00000105392	CRX
ENSG00000105393	BABAM1
ENSG00000105409	ATP1A3
ENSG00000105429	MEGF8
ENSG00000105447	GRWD1
ENSG00000105514	RAB3D
ENSG00000105518	TMEM205
ENSG00000105576	TNPO2
ENSG00000105607	GCDH
ENSG00000105618	PRPF31
ENSG00000105655	ISYNA1
ENSG00000105669	COPE
ENSG00000105671	DDX49
ENSG00000105676	ARMC6
ENSG00000105679	GAPDHS
ENSG00000105701	FKBP8
ENSG00000105726	ATP13A1
ENSG00000105793	GTPBP10
ENSG00000105854	PON2
ENSG00000105879	CBLL1
ENSG00000105887	MTPN
ENSG00000105953	OGDH
ENSG00000105968	H2AFV
ENSG00000106004	HOXA5
ENSG00000106009	BRAT1
ENSG00000106028	SSBP1
ENSG00000106066	CPVL
ENSG00000106153	CHCHD2
ENSG00000106246	PTCD1
ENSG00000106299	WASL
ENSG00000106333	PCOLCE
ENSG00000106366	SERPINE1
ENSG00000106397	PLOD3
ENSG00000106399	RPA3
ENSG00000106554	CHCHD3
ENSG00000106588	PSMA2
ENSG00000106591	MRPL32
ENSG00000106628	POLD2
ENSG00000106638	TBL2
ENSG00000106723	SPIN1
ENSG00000106771	TMEM245
ENSG00000106803	SEC61B
ENSG00000106991	ENG
ENSG00000107164	FUBP3
ENSG00000107185	RGP1
ENSG00000107262	BAG1
ENSG00000107290	SETX
ENSG00000107295	SH3GL2
ENSG00000107611	CUBN
ENSG00000107651	SEC23IP
ENSG00000107669	ATE1
ENSG00000107672	NSMCE4A
ENSG00000107796	ACTA2
ENSG00000107815	C10orf2
ENSG00000107816	LZTS2
ENSG00000107819	SFXN3
ENSG00000107829	FBXW4
ENSG00000107833	NPM3
ENSG00000107897	ACBD5
ENSG00000107929	LARP4B
ENSG00000107937	GTPBP4
ENSG00000107951	MTPAP
ENSG00000108010	GLRX3
ENSG00000108061	SHOC2
ENSG00000108064	TFAM
ENSG00000108106	UBE2S
ENSG00000108107	RPL28
ENSG00000108256	NUFIP2
ENSG00000108298	RPL19
ENSG00000108344	PSMD3
ENSG00000108349	CASC3
ENSG00000108433	GOSR2
ENSG00000108469	RECQL5
ENSG00000108479	GALK1
ENSG00000108506	INTS2
ENSG00000108515	ENO3
ENSG00000108523	RNF167
ENSG00000108528	SLC25A11
ENSG00000108559	NUP88
ENSG00000108587	GOSR1
ENSG00000108588	CCDC47
ENSG00000108622	ICAM2
ENSG00000108651	UTP6
ENSG00000108671	PSMD11
ENSG00000108679	LGALS3BP
ENSG00000108774	RAB5C
ENSG00000108788	MLX
ENSG00000108797	CNTNAP1
ENSG00000108828	VAT1
ENSG00000108829	LRRC59
ENSG00000108848	LUC7L3
ENSG00000108883	EFTUD2
ENSG00000108946	PRKAR1A
ENSG00000109016	DHRS7B
ENSG00000109062	SLC9A3R1
ENSG00000109113	RAB34
ENSG00000109133	TMEM33
ENSG00000109171	SLAIN2
ENSG00000109180	OCIAD1
ENSG00000109475	RPL34
ENSG00000109501	WFS1
ENSG00000109519	GRPEL1
ENSG00000109536	FRG1
ENSG00000109618	SEPSECS
ENSG00000109685	WHSC1
ENSG00000109736	MFSD10
ENSG00000109738	GLRB
ENSG00000109805	NCAPG
ENSG00000109814	UGDH
ENSG00000109919	MTCH2
ENSG00000109920	FNBP4
ENSG00000110057	UNC93B1
ENSG00000110076	NRXN2
ENSG00000110080	ST3GAL4
ENSG00000110090	CPT1A
ENSG00000110107	PRPF19
ENSG00000110108	TMEM109
ENSG00000110195	FOLR1
ENSG00000110330	BIRC2
ENSG00000110435	PDHX
ENSG00000110442	COMMD9
ENSG00000110497	AMBRA1
ENSG00000110628	SLC22A18
ENSG00000110717	NDUFS8
ENSG00000110801	PSMD9
ENSG00000110841	PPFIBP1
ENSG00000110917	MLEC
ENSG00000110955	ATP5B
ENSG00000110958	PTGES3
ENSG00000111077	TENC1
ENSG00000111144	LTA4H
ENSG00000111196	MAGOHB
ENSG00000111199	TRPV4
ENSG00000111215	PRR4
ENSG00000111231	GPN3
ENSG00000111237	VPS29
ENSG00000111328	CDK2AP1
ENSG00000111361	EIF2B1
ENSG00000111364	DDX55
ENSG00000111445	RFC5
ENSG00000111581	NUP107
ENSG00000111596	CNOT2
ENSG00000111641	NOP2
ENSG00000111652	COPS7A
ENSG00000111664	GNB3
ENSG00000111666	CHPT1
ENSG00000111669	TPI1
ENSG00000111670	GNPTAB
ENSG00000111674	ENO2
ENSG00000111684	LPCAT3
ENSG00000111711	GOLT1B
ENSG00000111716	LDHB
ENSG00000111731	C2CD5
ENSG00000111783	RFX4
ENSG00000111897	SERINC1
ENSG00000111906	HDDC2
ENSG00000111911	HINT3
ENSG00000112159	MDN1
ENSG00000112167	SAYSD1
ENSG00000112290	WASF1
ENSG00000112306	RPS12
ENSG00000112335	SNX3
ENSG00000112343	TRIM38
ENSG00000112531	QKI
ENSG00000112578	BYSL
ENSG00000112640	PPP2R5D
ENSG00000112655	PTK7
ENSG00000112659	CUL9
ENSG00000112685	EXOC2
ENSG00000112697	TMEM30A
ENSG00000112699	GMDS
ENSG00000112981	NME5
ENSG00000112983	BRD8
ENSG00000113048	MRPS27
ENSG00000113068	PFDN1
ENSG00000113083	LOX
ENSG00000113140	SPARC
ENSG00000113141	IK
ENSG00000113194	FAF2
ENSG00000113282	CLINT1
ENSG00000113300	CNOT6
ENSG00000113312	TTC1
ENSG00000113384	GOLPH3
ENSG00000113407	TARS
ENSG00000113569	NUP155
ENSG00000113583	C5orf15
ENSG00000113594	LIFR
ENSG00000113643	RARS
ENSG00000113657	DPYSL3
ENSG00000113719	ERGIC1
ENSG00000113734	BNIP1
ENSG00000113758	DBN1
ENSG00000113761	ZNF346
ENSG00000113810	SMC4
ENSG00000113845	TIMMDC1
ENSG00000113971	NPHP3
ENSG00000114023	FAM162A
ENSG00000114054	PCCB
ENSG00000114098	ARMC8
ENSG00000114125	RNF7
ENSG00000114251	WNT5A
ENSG00000114353	GNAI2
ENSG00000114354	TFG
ENSG00000114374	USP9Y
ENSG00000114416	FXR1
ENSG00000114439	BBX
ENSG00000114450	GNB4
ENSG00000114491	UMPS
ENSG00000114503	NCBP2
ENSG00000114520	SNX4
ENSG00000114573	ATP6V1A
ENSG00000114686	MRPL3
ENSG00000114841	DNAH1
ENSG00000114850	SSR3
ENSG00000114942	EEF1B2
ENSG00000115020	PIKFYVE
ENSG00000115084	SLC35F5
ENSG00000115107	STEAP3
ENSG00000115109	EPB41L5
ENSG00000115128	SF3B14
ENSG00000115159	GPD2
ENSG00000115163	CENPA
ENSG00000115165	CYTIP
ENSG00000115207	GTF3C2
ENSG00000115211	EIF2B4
ENSG00000115233	PSMD14
ENSG00000115241	PPM1G
ENSG00000115268	RPS15
ENSG00000115275	MOGS
ENSG00000115286	NDUFS7
ENSG00000115295	CLIP4
ENSG00000115306	SPTBN1
ENSG00000115307	AUP1
ENSG00000115310	RTN4
ENSG00000115317	HTRA2
ENSG00000115325	DOK1
ENSG00000115350	POLE4
ENSG00000115355	CCDC88A
ENSG00000115363	EVA1A
ENSG00000115364	MRPL19
ENSG00000115365	LANCL1
ENSG00000115484	CCT4
ENSG00000115486	GGCX
ENSG00000115524	SF3B1
ENSG00000115541	HSPE1
ENSG00000115657	ABCB6
ENSG00000115677	HDLBP
ENSG00000115685	PPP1R7
ENSG00000115756	HPCAL1
ENSG00000115760	BIRC6
ENSG00000115839	RAB3GAP1
ENSG00000115840	SLC25A12
ENSG00000115944	COX7A2L
ENSG00000115946	PNO1
ENSG00000115970	THADA
ENSG00000115977	AAK1
ENSG00000116005	PCYOX1
ENSG00000116120	FARSB
ENSG00000116133	DHCR24
ENSG00000116138	DNAJC16
ENSG00000116161	CACYBP
ENSG00000116209	TMEM59
ENSG00000116237	ICMT
ENSG00000116251	RPL22
ENSG00000116254	CHD5
ENSG00000116260	QSOX1
ENSG00000116266	STXBP3
ENSG00000116337	AMPD2
ENSG00000116406	EDEM3
ENSG00000116455	WDR77
ENSG00000116459	ATP5F1
ENSG00000116473	RAP1A
ENSG00000116489	CAPZA1
ENSG00000116521	SCAMP3
ENSG00000116584	ARHGEF2
ENSG00000116641	DOCK7
ENSG00000116663	FBXO6
ENSG00000116685	KIAA2013
ENSG00000116729	WLS
ENSG00000116747	TROVE2
ENSG00000116750	UCHL5
ENSG00000116752	BCAS2
ENSG00000116754	SRSF11
ENSG00000116793	PHTF1
ENSG00000116852	KIF21B
ENSG00000116871	MAP7D1
ENSG00000116898	MRPS15
ENSG00000116906	GNPAT
ENSG00000116984	MTR
ENSG00000117054	ACADM
ENSG00000117118	SDHB
ENSG00000117143	UAP1
ENSG00000117155	SSX2IP
ENSG00000117298	ECE1
ENSG00000117305	HMGCL
ENSG00000117360	PRPF3
ENSG00000117385	LEPRE1
ENSG00000117394	SLC2A1
ENSG00000117461	PIK3R3
ENSG00000117472	TSPAN1
ENSG00000117519	CNN3
ENSG00000117523	PRRC2C
ENSG00000117528	ABCD3
ENSG00000117586	TNFSF4
ENSG00000117592	PRDX6
ENSG00000117593	DARS2
ENSG00000117602	RCAN3
ENSG00000117616	C1orf63
ENSG00000117758	STX12
ENSG00000117868	ESYT2
ENSG00000117899	MESDC2
ENSG00000117984	CTSD
ENSG00000118200	CAMSAP2
ENSG00000118246	FASTKD2
ENSG00000118363	SPCS2
ENSG00000118508	RAB32
ENSG00000118526	TCF21
ENSG00000118640	VAMP8
ENSG00000118762	PKD2
ENSG00000118873	RAB3GAP2
ENSG00000118898	PPL
ENSG00000119041	GTF3C3
ENSG00000119285	HEATR1
ENSG00000119314	PTBP3
ENSG00000119318	RAD23B
ENSG00000119321	FKBP15
ENSG00000119326	CTNNAL1
ENSG00000119396	RAB14
ENSG00000119401	TRIM32
ENSG00000119421	NDUFA8
ENSG00000119537	KDSR
ENSG00000119655	NPC2
ENSG00000119689	DLST
ENSG00000119705	SLIRP
ENSG00000119707	RBM25
ENSG00000119718	EIF2B2
ENSG00000119725	ZNF410
ENSG00000119777	TMEM214
ENSG00000119801	YPEL5
ENSG00000119812	FAM98A
ENSG00000119820	YIPF4
ENSG00000119906	FAM178A
ENSG00000119969	HELLS
ENSG00000120254	MTHFD1L
ENSG00000120328	PCDHB12
ENSG00000120333	MRPS14
ENSG00000120438	TCP1
ENSG00000120451	SNX19
ENSG00000120509	PDZD11
ENSG00000120533	ENY2
ENSG00000120539	MASTL
ENSG00000120594	PLXDC2
ENSG00000120647	CCDC77
ENSG00000120693	SMAD9
ENSG00000120694	HSPH1
ENSG00000120697	ALG5
ENSG00000120708	TGFBI
ENSG00000120725	SIL1
ENSG00000120727	PAIP2
ENSG00000120802	TMPO
ENSG00000120805	ARL1
ENSG00000120889	TNFRSF10B
ENSG00000120896	SORBS3
ENSG00000120925	RNF170
ENSG00000120942	UBIAD1
ENSG00000121067	SPOP
ENSG00000121152	NCAPH
ENSG00000121274	PAPD5
ENSG00000121297	TSHZ3
ENSG00000121390	PSPC1
ENSG00000121440	PDZRN3
ENSG00000121486	TRMT1L
ENSG00000121749	TBC1D15
ENSG00000121769	FABP3
ENSG00000121879	PIK3CA
ENSG00000121892	PDS5A
ENSG00000121940	CLCC1
ENSG00000122026	RPL21
ENSG00000122126	OCRL
ENSG00000122140	MRPS2
ENSG00000122257	RBBP6
ENSG00000122378	FAM213A
ENSG00000122406	RPL5
ENSG00000122484	RPAP2
ENSG00000122550	KLHL7
ENSG00000122565	CBX3
ENSG00000122642	FKBP9
ENSG00000122694	GLIPR2
ENSG00000122705	CLTA
ENSG00000122741	DCAF10
ENSG00000122870	BICC1
ENSG00000122882	ECD
ENSG00000122884	P4HA1
ENSG00000122958	VPS26A
ENSG00000122970	IFT81
ENSG00000123080	CDKN2C
ENSG00000123091	RNF11
ENSG00000123130	ACOT9
ENSG00000123131	PRDX4
ENSG00000123144	C19orf43
ENSG00000123338	NCKAP1L
ENSG00000123352	SPATS2
ENSG00000123395	C12orf44
ENSG00000123416	TUBA1B
ENSG00000123505	AMD1
ENSG00000123545	NDUFAF4
